"","month","EVENT_TYPE","STATE","CROPDMG","PROPDMG","FATALITIES","INJURIES","DMG","health_impact"
"372",1,"ICE STORM","MO",500,60007000,0,0,60007500,0
"373",1,"ICE STORM","MS",60000,880000,0,0,940000,0
"374",1,"ICE STORM","MT",0,5000,0,0,5000,0
"375",1,"ICE STORM","NC",0,17500800,0,0,17500800,0
"376",1,"ICE STORM","NE",0,86500,0,4,86500,4
"377",1,"ICE STORM","NH",0,28005000,0,1,28005000,1
"378",1,"ICE STORM","NV",0,0,3,2,0,5
"379",1,"ICE STORM","NY",0,37025000,2,24,37025000,26
"380",1,"ICE STORM","OH",0,128790000,1,38,128790000,39
"381",1,"ICE STORM","OK",0,301500000,0,0,301500000,0
"382",1,"ICE STORM","OR",0,1050000,1,5,1050000,6
"383",1,"ICE STORM","PA",0,311000,0,65,311000,65
"384",1,"ICE STORM","RI",0,5e+05,0,0,5e+05,0
"385",1,"ICE STORM","SC",0,46530500,0,0,46530500,0
"386",1,"ICE STORM","SD",0,5e+05,3,16,5e+05,19
"387",1,"ICE STORM","TN",0,655000,1,0,655000,1
"388",1,"ICE STORM","TX",0,19468000,7,26,19468000,33
"389",1,"ICE STORM","VA",75000,1057000,0,2,1132000,2
"390",1,"ICE STORM","VT",0,6230000,0,1,6230000,1
"391",1,"ICE STORM","WA",0,266000,1,5,266000,6
"392",1,"ICE STORM","WI",0,66500,0,14,66500,14
"393",1,"ICE STORM","WV",0,127000,1,0,127000,1
"394",1,"ICE STORM","WY",0,12000,0,1,12000,1
"395",1,"LAKE-EFFECT SNOW","NY",0,536000,0,0,536000,0
"396",1,"LAKE-EFFECT SNOW","OH",0,2865000,0,0,2865000,0
"397",1,"LAKE-EFFECT SNOW","PA",0,2065000,0,0,2065000,0
"398",1,"LIGHTNING","AL",0,635000,0,1,635000,1
"399",1,"LIGHTNING","AR",0,171000,0,1,171000,1
"400",1,"LIGHTNING","CA",0,1015000,1,2,1015000,3
"401",1,"LIGHTNING","CT",0,0,0,1,0,1
"402",1,"LIGHTNING","FL",0,801500,1,2,801500,3
"403",1,"LIGHTNING","GA",0,989505,0,3,989505,3
"404",1,"LIGHTNING","HI",0,10000,0,0,10000,0
"405",1,"LIGHTNING","IL",0,15000,0,1,15000,1
"406",1,"LIGHTNING","IN",0,215000,0,0,215000,0
"407",1,"LIGHTNING","KY",0,125000,0,0,125000,0
"408",1,"LIGHTNING","LA",0,287000,1,4,287000,5
"409",1,"LIGHTNING","MA",0,27000,0,1,27000,1
"410",1,"LIGHTNING","MD",0,0,0,1,0,1
"411",1,"LIGHTNING","MO",0,1e+05,0,0,1e+05,0
"412",1,"LIGHTNING","MS",0,61010,0,1,61010,1
